date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:13:58	24/24	---M--	200	added ('OK')	text/plain	date:Mon,%2001%20Jun%202020%2014:43:59%20GMT	http://www.pascalvangemert.nl/robots.txt		(from )
20:13:59	50426/50426	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Jun%202020%2014:44:00%20GMT	http://www.pascalvangemert.nl/	D:/My%20Web%20site/web/www.pascalvangemert.nl/index.html	(from )
20:14:02	109518/109518	---M--	200	added ('OK')	text/css	date:Mon,%2001%20Jun%202020%2014:44:01%20GMT	http://www.pascalvangemert.nl/view/css/bootstrap.min.css	D:/My%20Web%20site/web/www.pascalvangemert.nl/view/css/bootstrap.min.css	(from http://www.pascalvangemert.nl/)
20:14:03	10539/10539	---M--	200	added ('OK')	text/css	date:Mon,%2001%20Jun%202020%2014:44:01%20GMT	http://www.pascalvangemert.nl/view/style.css	D:/My%20Web%20site/web/www.pascalvangemert.nl/view/style.css	(from http://www.pascalvangemert.nl/)
20:14:04	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Mon,%2001%20Jun%202020%2014:44:04%20GMT	http://www.pascalvangemert.nl/favicon.ico	D:/My%20Web%20site/web/www.pascalvangemert.nl/favicon.ico	(from http://www.pascalvangemert.nl/)
20:14:05	25361/25361	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jun%202020%2014:44:06%20GMT	http://www.pascalvangemert.nl/view/images/pascal_van_gemert.png	D:/My%20Web%20site/web/www.pascalvangemert.nl/view/images/pascal_van_gemert.png	(from http://www.pascalvangemert.nl/)
20:14:05	1447/1447	---M--	200	added ('OK')	image/gif	date:Fri,%2016%20Aug%202019%2004:57:33%20GMT	https://www.paypalobjects.com/en_US/i/btn/btn_donate_SM.gif	D:/My%20Web%20site/web/www.paypalobjects.com/en_US/i/btn/btn_donate_SM.gif	(from http://www.pascalvangemert.nl/)
20:14:05	43/43	---M--	200	added ('OK')	image/gif	date:Fri,%2016%20Aug%202019%2004:57:41%20GMT	https://www.paypalobjects.com/nl_NL/i/scr/pixel.gif	D:/My%20Web%20site/web/www.paypalobjects.com/nl_NL/i/scr/pixel.gif	(from http://www.pascalvangemert.nl/)
20:14:08	51616/51616	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Jun%202020%2014:44:07%20GMT	http://www.pascalvangemert.nl/view/images/project_mals.jpg	D:/My%20Web%20site/web/www.pascalvangemert.nl/view/images/project_mals.jpg	(from http://www.pascalvangemert.nl/)
20:14:08	33043/33043	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Jun%202020%2014:44:08%20GMT	http://www.pascalvangemert.nl/view/images/project_soap.jpg	D:/My%20Web%20site/web/www.pascalvangemert.nl/view/images/project_soap.jpg	(from http://www.pascalvangemert.nl/)
